,White-faced Ibis,Plegadis chihi,1,
,Roseate Spoonbill,Platalea ajaja,1,
New World Vultures (Cathartidae),Black Vulture,Coragyps atratus,1,
,Turkey Vulture,Cathartes aura,1,
,California Condor,Gymnogyps californianus,6,
Ospreys (Pandionidae),Osprey,Pandion haliaetus,1,
"Hawks, Kites, Eagles, and Allies (Accipitridae)",Hook-billed Kite,Chondrohierax uncinatus,3,
,Swallow-tailed Kite,Elanoides forficatus,1,
,White-tailed Kite,Elanus leucurus,1,
,Snail Kite,Rostrhamus sociabilis,2,
,Double-toothed Kite,Harpagus bidentatus,5,
,Mississippi Kite,Ictinia mississippiensis,1,
,Bald Eagle,Haliaeetus leucocephalus,1,
,White-tailed Eagle,Haliaeetus albicilla,4,
,Steller's Sea-Eagle,Haliaeetus pelagicus,4,
,Northern Harrier,Circus cyaneus,1,
,Sharp-shinned Hawk,Accipiter striatus,1,
,Cooper's Hawk,Accipiter cooperii,1,
,Northern Goshawk,Accipiter gentilis,1,
,Crane Hawk,Geranospiza caerulescens,5,
,Common Black Hawk,Buteogallus anthracinus,2,
,Harris's Hawk,Parabuteo unicinctus,1,
,Roadside Hawk,Buteo magnirostris,4,
,Red-shouldered Hawk,Buteo lineatus,1,
,Broad-winged Hawk,Buteo platypterus,1,
,Gray Hawk,Buteo plagiatus,2,
,Short-tailed Hawk,Buteo brachyurus,2,
,Swainson's Hawk,Buteo swainsoni,1,
,White-tailed Hawk,Buteo albicaudatus,2,
,Zone-tailed Hawk,Buteo albonotatus,2,
,Red-tailed Hawk,Buteo jamaicensis,1,
,Ferruginous Hawk,Buteo regalis,1,
,Rough-legged Hawk,Buteo lagopus,1,
,Golden Eagle,Aquila chrysaetos,1,
"Rails, Gallinules, and Coots (Rallidae)",Yellow Rail,Coturnicops noveboracensis,2,
,Black Rail,Laterallus jamaicensis,2,
,Corn Crake,Crex crex,4,
,Ridgway’s Rail,Rallus obsoletus,1,
,Clapper Rail,Rallus longirostris,1,
,King Rail,Rallus elegans,1,
,Virginia Rail,Rallus limicola,1,
,Sora,Porzana carolina,1,
,Paint-billed Crake,Neocrex erythrops,5,
,Spotted Rail,Pardirallus maculatus,5,
,Purple Swamphen,Porphyrio porphyrio,2,
,Purple Gallinule,Porphyrio martinicus,1,
,Common Gallinule,Gallinula galeata,1,
,Common Moorhen,Gallinula chloropus,5,
,Eurasian Coot,Fulica atra,5,
,American Coot,Fulica americana,1,
Sungrebes (Heliornithidae),Sungrebe,Heliornis fulica,5,
Limpkins (Aramidae),Limpkin,Aramus guarauna,2,
Cranes (Gruidae),Sandhill Crane,Grus canadensis,1,
,Common Crane,Grus grus,4,
,Whooping Crane,Grus americana,2,
Thick-knees (Burhinidae),Double-striped Thick-knee,Burhinus bistriatus,5,
